Fertilizer,temp,N(ppm),P(ppm),K(ppm),yeild
80,28,80,24,20,12
77,27,78,23,20,12
80,26,80,24,20,12
80,28,80,24,20,12
78,27,78,23,19,12
80,28,80,24,20,12
75,26,75,22,19,12
80.00883794,27.92295403,79.82364762,23.98784996,19.99870064,11.88996773
79.96922344,28.0691808,79.97562647,24.01587582,20.03775166,11.91004625
78.1017394,26.9333896,77.90588947,22.91823343,19.24872411,12.22213171
77.02716938,26.91632952,77.82524736,22.91711687,20.01736264,12.20343099
79.97172367,28.15917811,80.16968303,24.11034127,20.06072344,12.18140888
77.88058525,26.8885669,77.88898295,23.14716803,19.05086939,12.10652739
80.12095989,25.90915588,79.97856139,24.06274555,20.04129659,11.99048737
80.16974114,28.07878674,80.07822936,24.02495582,20.06558421,11.94355724
77.09211194,27.22097692,77.99951036,22.99807354,19.94919924,11.96685728
80.00194038,28.12082357,79.9527939,24.08048812,20.07573317,12.02963999
79.98365647,28.19143856,79.92297395,24.04946374,20.05715123,11.85539168
79.98393759,28.04956134,80.1779253,23.9729684,19.97026993,12.02840674
79.95492731,27.93544526,80.12758797,23.79189678,20.14538869,12.11199906
80.03496164,27.88519837,80.02160088,23.98445589,20.01596419,12.06406285
80.02086358,27.86085784,79.9384558,23.9865863,19.91919646,12.01984491
79.946211,28.14878452,80.03612053,24.07535435,20.10009668,12.06086765
77.19670531,27.12946514,77.9792243,22.82830744,19.98407963,11.93587421
76.93860725,26.77548376,77.82055951,23.07715029,20.05456445,12.06246988
77.91759902,27.18479336,78.05981491,23.00612324,18.99632128,11.90959508
79.97481836,26.042943,79.99172566,24.02828909,19.87949326,12.10122421
79.83092141,27.96499545,80.03711341,23.89342423,20.13006025,12.01436432
77.87287178,26.94385079,78.20337524,23.03535044,19.09075289,11.91839104
79.9019452,26.05778249,80.01226091,24.04896198,20.19103674,11.99487991
79.95633798,28.17413983,80.01544604,24.02800366,20.00970018,11.90785831
80.08663323,27.99625068,80.08833907,23.96351872,19.89748753,12.04993334
75.04507926,25.88185161,75.17248656,21.82409883,18.9022704,12.10953388
80.04282587,27.9897424,79.79394694,23.89016055,20.13873896,11.9463837
77.95024663,27.02287547,77.9949681,23.03097828,18.83698579,11.8844064
80.08823916,28.0036847,80.11824133,24.11680254,20.09313899,12.07576676
80.06285766,28.18222291,79.99401124,24.10903318,19.97740563,11.87262583
79.9597159,25.9434297,79.93784544,23.98710325,19.91637826,11.93139079
79.99909165,27.88140837,79.9839167,23.90981182,20.02971137,12.10113966
78.03146614,27.01498959,77.96181937,22.96485004,18.91685916,11.99979683
